"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Demanda No Aturats",428
2021,1,8,"Nou Barris",54,"Torre Baró","Dones","Demanda No Aturats",115
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Demanda No Aturats",599
2021,1,8,"Nou Barris",56,"Vallbona","Dones","Demanda No Aturats",70
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Demanda No Aturats",555
2021,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Demanda No Aturats",124
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Demanda No Aturats",702
2021,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Demanda No Aturats",2843
2021,1,9,"Sant Andreu",61,"la Sagrera","Dones","Demanda No Aturats",1405
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Demanda No Aturats",684
2021,1,9,"Sant Andreu",63,"Navas","Dones","Demanda No Aturats",1052
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Demanda No Aturats",1875
2021,1,10,"Sant Martí",65,"el Clot","Dones","Demanda No Aturats",1288
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Demanda No Aturats",623
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Demanda No Aturats",401
2021,1,10,"Sant Martí",68,"el Poblenou","Dones","Demanda No Aturats",1386
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Demanda No Aturats",510
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Demanda No Aturats",1163
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Demanda No Aturats",936
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Demanda No Aturats",1312
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Demanda No Aturats",1478
2021,1,99,"No consta",99,"No consta","Dones","Demanda No Aturats",211
2021,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur Registrat",3040
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur Registrat",766
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur Registrat",722
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur Registrat",993
2021,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur Registrat",784
2021,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur Registrat",1222
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur Registrat",882
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur Registrat",905
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur Registrat",1351
2021,1,2,"Eixample",10,"Sant Antoni","Homes","Atur Registrat",1038
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur Registrat",1604
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur Registrat",77
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur Registrat",965
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur Registrat",399
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur Registrat",439
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur Registrat",515
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur Registrat",509
2021,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur Registrat",1016
2021,1,4,"Les Corts",19,"les Corts","Homes","Atur Registrat",1019
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur Registrat",503
2021,1,4,"Les Corts",21,"Pedralbes","Homes","Atur Registrat",111
